Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Apple Machine Language],Printed Matter,Book,Apple Machine Language,Don Inman and Kurt Inman,N/A,N/A,Reston Pubishing Co.,1981,N/A,Apple Computer--Programming,ISBN 0-8359-0230-7,2013.12.3,Brad Feld,
[How to Profit from Your Personal Computer],Printed Matter,Book,How to Profit from Your Personal Computer,T.G. Lewis,N/A,N/A,"Hayden Book Company, Inc. Rochelle Park, New Jersey",1978,English,Computers,ISBN 0-8104-5761-X,2013.12.4,Brad Feld,
[Assembly Language Programming for the Apple Basic User],Printed Matter,Book,Assembly Language Programming for the Apple Basic User,W. J. Weller,N/A,N/A,Northern Technology Books,1981,English,Assembly Language Programming Guide,ISBN 0-930594-09-6,2013.12.6,Brad Feld,
[Apple II User’s Guide],Printed Matter,Book,Apple II User’s Guide,"Lon Poole, Martin McNiff, and Steven Cook",N/A,N/A,Osborne/McGraw-Hill,1981,English,User’s Guide,ISBN 0-931988-46-2,2013.12.7,Brad Feld,
[Programming for Poets: A Gentle Introduction Using FORTRAN with WATFIV],Printed Matter,Book,A Gentle Introduction Using FORTRAN with WATFIV,Richard Conway and James Archer,N/A,N/A,Winthrop Publishers,1978,English,FORTRAN (Computer Program Language),ISBN 0-87626-722-3,2013.12.92,,
[Computers in the Humanities],Printed Matter,Book, Computers in the Humanities,N/A,J. L. Mitchell,N/A,U of Minnesota P,1974,English,Computers--Humanities,ISBN 0-8166-0731-1,2013.12.93,,
[Statistics and Style],Printed Matter,Book,Statistics and Style,N/A,Lubomír Doležel and Richard W. Bailey,N/A,American Elsevier Publishing Company,1969,English,Linguistics--Statistical Analysis,SBN 444-00039-9,2013.12.94,,Mathematical Linguistics and Automatic Language Processing.
[Shakespeare’s Grammatical Style: A Computer-Assisted Analysis of Richard II and Antony and Cleopatra],Printed Matter,Book,A Computer-Assisted Analysis of Richard II and Antony and Cleopatra,Dolores M. Burton,N/A,N/A,U of Texas P,1973,English,Shakespeare--Style,ISBN 0-292-77504-0,2013.12.96,,
[Building Web Sites with Macromedia StudioMX],Printed Matter,Book,Building Web Sites with Macromedia StudioMX,"Tom Green, Jordan Chilcott, and Chris Flick",N/A,N/A,New Riders Publishing - David Dwyer,2003,English,Educational,0-7357-1272-7,2014.06.3,John Hopkins,
[Editing Techniques with Final Cut Pro],Printed Matter,Book,Editing Techniques with Final Cut Pro,Michael Wohl,N/A,N/A,Peachpit Press,2002,English,Final Cut Pro,0-201-73483-4,2014.06.37,John Hopkins,
[Final Cut Pro 3 for Macintosh],Printed Matter,Book,Final Cut Pro 3 for Macintosh,Lisa Brenneis,N/A,N/A,Peachpit Press,2002,English,Final Cut Pro,0-321-11583-X,2014.06.38,John Hopkins,
